Name,Price,Material,Quantity,Type,Color
StainlessSteelCookingPot,24.99,Stainless Steel,50,Cooking Pot,Silver
CastIronDutchOven,39.99,Cast Iron,30,Dutch Oven,Black
Non-StickSaucepan,19.99,Aluminum,40,Saucepan,Black
CopperStockPot,59.99,Copper,20,Stock Pot,Copper
ClayCasseroleDish,29.99,Clay,25,Casserole Dish,Brown
GlassBakingPot,14.99,Glass,35,Baking Pot,Clear
EnamelRoastingPan,34.99,Enamel,15,Roasting Pan,Red
AluminumSteamerPot,27.99,Aluminum,45,Steamer Pot,Silver
CeramicSoupPot,32.99,Ceramic,25,Soup Pot,Blue
SiliconeInstantPot,49.99,Silicone,20,Instant Pot,Assorted
