Name,Price,Material,Quantity,Type,Color
StainlessSteelTeaspoon,1.99,Stainless Steel,200,Teaspoon,Silver
WoodenCookingSpoon,3.49,Wood,150,Cooking Spoon,Brown
PlasticDessertSpoon,0.99,Plastic,300,Dessert Spoon,White
SilverPlatedSoupSpoon,6.99,Silver Plated,100,Soup Spoon,Silver
BambooMixingSpoon,2.99,Bamboo,180,Mixing Spoon,Beige
CeramicCoffeeSpoon,4.49,Ceramic,120,Coffee Spoon,Blue
MelamineServingSpoon,2.49,Melamine,250,Serving Spoon,Black
PorcelainDemitasseSpoon,5.99,Porcelain,80,Demitasse Spoon,White
VintageSilverSpoon,8.99,Silver,90,Tablespoon,Silver
AluminumIceCreamSpoon,1.79,Aluminum,220,Ice Cream Spoon,Assorted
